Datetime,yhat
2017-05-06,24640.900260193783
2017-05-07,23948.749934690295
2017-05-08,27462.568363240036
2017-05-09,28021.6044816207
2017-05-10,28107.669009399207
2017-05-11,28070.860333652792
2017-05-12,27676.53348555149
2017-05-13,25204.230253353337
2017-05-14,24556.672988985327
2017-05-15,28116.015191731247
2017-05-16,28721.781702940174
2017-05-17,28855.98269281866
2017-05-18,28868.823717056865
2017-05-19,28525.66227960097
2017-05-20,26105.929448345625
2017-05-21,25512.119452358453
2017-05-22,29126.040570857887
2017-05-23,29786.76022113474
2017-05-24,29975.728343220806
2017-05-25,30042.50112037979
2017-05-26,29751.71508453388
2017-05-27,27382.029628913373
2017-05-28,26835.140210733956
2017-05-29,28436.197477951522
2017-05-30,31191.06570371954
2017-05-31,31412.89984326268
2017-06-01,31506.468859282984
2017-06-02,31235.867958637595
2017-06-03,28879.340803966406
2017-06-04,28338.311879047127
2017-06-05,31993.678185572284
2017-06-06,32683.791751111166
2017-06-07,32889.61569932202
2017-06-08,32960.47470005606
2017-06-09,32661.048793128506
2017-06-10,30270.327755573315
2017-06-11,29690.627675276904
2017-06-12,33303.8619306656
2017-06-13,33949.49856625497
2017-06-14,34109.687471852936
2017-06-15,34134.97896758907
2017-06-16,33791.28367944493
2017-06-17,31358.79184604642
2017-06-18,30740.95474277222
2017-06-19,34320.72146731183
2017-06-20,34938.46411163105
2017-06-21,35077.07572205507
2017-06-22,35087.66357214236
2017-06-23,34736.48845562721
2017-06-24,32303.868836603167
2017-06-25,31693.153091300694
2017-06-26,35286.95346705356
2017-06-27,35925.07498518242
2017-06-28,36089.62370278151
2017-06-29,36130.716680731086
2017-06-30,35813.44399980024
2017-07-01,33416.801117320065
2017-07-02,32842.69408832546
2017-07-03,36472.21042011169
2017-07-04,33773.49160349936
2017-07-05,37337.36408162963
2017-07-06,37402.12959592516
2017-07-07,37101.531185212676
2017-07-08,34713.24484566495
2017-07-09,34138.01850019977
2017-07-10,37755.97655020118
2017-07-11,38404.61748383091
2017-07-12,38563.9870316808
2017-07-13,38582.447379516874
2017-07-14,38223.69108246298
2017-07-15,35765.71646528977
2017-07-16,35109.86575940692
2017-07-17,38637.1177440821
2017-07-18,39186.06644026303
2017-07-19,39238.06882194892
2017-07-20,39142.98271440452
2017-07-21,38666.144349520466
2017-07-22,36087.30333335567
2017-07-23,35309.617363759266
2017-07-24,38715.89963962322
2017-07-25,39146.55173766713
2017-07-26,39084.666168173055
2017-07-27,38881.721009169305
2017-07-28,38304.51726822957
2017-07-29,35634.07782120014
2017-07-30,34774.61124427448
2017-07-31,38109.7343160013
2017-08-01,38480.386632835325
2017-08-02,38369.92203159548
2017-08-03,38129.799500341665
2017-08-04,37526.524301693156
2017-08-05,34840.55802351547
2017-08-06,33975.30053381035
2017-08-07,37313.33708206094
2017-08-08,37694.383277001296
2017-08-09,37600.41176197596
2017-08-10,37381.382264239575
2017-08-11,36802.22463312765
2017-08-12,34141.79240093967
2017-08-13,33301.88862468502
2017-08-14,36663.55602931336
2017-08-15,37065.06299335242
2017-08-16,36987.06807507885
2017-08-17,36778.38373114118
2017-08-18,36202.98794504265
2017-08-19,33539.00055442264
2017-08-20,32687.725463300023
2017-08-21,36029.950376377274
2017-08-22,36403.93541118224
2017-08-23,36290.57330358882
2017-08-24,36039.14207619347
2017-08-25,35414.29929759959
2017-08-26,32695.03531115975
2017-08-27,31783.687369649513
2017-08-28,35062.20720065015
2017-08-29,35370.114355845544
2017-08-30,35189.61913727448
2017-08-31,34871.33709419652
2017-09-01,34181.24535639095
2017-09-02,31399.59929921268
2017-09-03,30429.912539875684
2017-09-04,29706.073766632362
2017-09-05,33915.873620895065
2017-09-06,33694.90613941462
2017-09-07,33343.46733091322
2017-09-08,32627.901524606365
2017-09-09,29828.634197887826
2017-09-10,28849.15429001782
2017-09-11,32072.259325365954
2017-09-12,32337.99620069252
2017-09-13,32128.781620455273
2017-09-14,31795.124052127867
2017-09-15,31102.597038570195
2017-09-16,28330.78164335589
2017-09-17,27382.280042299564
2017-09-18,30638.992543872406
2017-09-19,30940.089840965044
2017-09-20,30767.163448934218
2017-09-21,30469.97522649084
2017-09-22,29813.454926536753
2017-09-23,27076.662775529083
2017-09-24,26161.818454764612
2017-09-25,29450.588283330475
2017-09-26,29782.062095171277
2017-09-27,29637.90263686848
2017-09-28,29368.08844088148
2017-09-29,28737.899363950415
2017-09-30,26026.86220866299
2017-10-01,25137.758384717035
2017-10-02,28452.886138447087
2017-10-03,28812.009694148386
2017-10-04,28697.479080634563
2017-10-05,28459.942610504477
2017-10-06,27865.302247723248
2017-10-07,25193.630327841303
2017-10-08,24348.150600147208
2017-10-09,27700.438854767333
2017-10-10,28123.543813422177
2017-10-11,28066.710325061475
2017-10-12,27891.464837278334
2017-10-13,27363.376357016074
2017-10-14,24762.014044170814
2017-10-15,23989.936951158994
2017-10-16,27428.947429206597
2017-10-17,27918.041034979506
2017-10-18,27938.536891867647
2017-10-19,27839.810335669285
2017-10-20,27386.27762459619
2017-10-21,24856.350414214976
2017-10-22,24151.46191555147
2017-10-23,27652.35690177712
2017-10-24,28197.07722657952
2017-10-25,28266.125646405508
2017-10-26,28208.228658700216
2017-10-27,27787.34709850207
2017-10-28,25281.651269467773
2017-10-29,24592.561746593583
2017-10-30,28101.047404684618
2017-10-31,28645.61191576092
2017-11-01,28707.451294572405
2017-11-02,28636.2032090503
2017-11-03,28196.93702283576
2017-11-04,25669.101789031818
2017-11-05,24955.533983105113
2017-11-06,28438.717372114836
2017-11-07,28958.727276447768
2017-11-08,28998.342959290625
2017-11-09,28908.75012747148
2017-11-10,27803.46996806759
2017-11-11,25758.62467209969
2017-11-12,25210.291916190163
2017-11-13,28703.805331050313
2017-11-14,29243.652945853668
2017-11-15,29313.045597734897
2017-11-16,29263.303741830237
2017-11-17,28860.786749424922
2017-11-18,26385.78970622266
2017-11-19,25741.511214379683
2017-11-20,29310.286021469357
2017-11-21,29931.515822918853
2017-11-22,30086.782689993976
2017-11-23,26184.125470377967
2017-11-24,29812.223048546795
