Datetime,MW,hour,dayofweek,month,MW_lag1,MW_lag7,MW_rolling7,anomaly,iso_score
2012-07-06,43628.708333333336,0,4,7,45453.916666666664,43444.25,40648.3988095238,-1,-0.6095153684415109
2012-07-08,41265.375,0,6,7,44114.333333333336,38373.875,42016.47619047619,-1,-0.6011724377516433
2013-07-17,46413.041666666664,0,2,7,46078.541666666664,41440.916666666664,40627.875,-1,-0.600857282506512
2013-07-18,48366.708333333336,0,3,7,46413.041666666664,39939.291666666664,41831.79166666667,-1,-0.6141807935310364
2013-07-19,49271.0,0,4,7,48366.708333333336,34658.666666666664,43919.267857142855,-1,-0.670498232841231
2013-07-20,43570.125,0,5,7,49271.0,34139.083333333336,45266.55952380953,-1,-0.6366277024793945
2013-07-21,38947.958333333336,0,6,7,43570.125,38260.666666666664,45364.744047619046,-1,-0.6158210348296088
2013-07-22,41245.083333333336,0,0,7,38947.958333333336,44905.833333333336,44841.77976190477,-1,-0.6008008540714713
2013-07-23,41369.0,0,1,7,41245.083333333336,46078.541666666664,44168.98809523809,-1,-0.6042771300102221
2014-01-08,42378.458333333336,0,2,1,44652.791666666664,32360.916666666668,38452.05952380953,-1,-0.610537095556372
2014-01-29,41947.75,0,2,1,41845.416666666664,42421.916666666664,40029.35119047619,-1,-0.6115685688186928
2014-01-30,40929.708333333336,0,3,1,41947.75,41944.458333333336,39884.3869047619,-1,-0.6115495657719107
2015-02-20,44694.041666666664,0,4,2,42278.791666666664,39962.333333333336,41158.25,-1,-0.6083025796355795
2015-02-21,40918.666666666664,0,5,2,44694.041666666664,36800.625,41746.541666666664,-1,-0.6130331462500693
2015-02-22,33153.333333333336,0,6,2,40918.666666666664,40795.875,40654.75,-1,-0.6037149091700046
2015-10-11,23511.958333333332,0,6,10,23908.083333333332,24340.416666666668,26293.714285714286,-1,-0.5945462534771596
2016-04-24,22737.333333333332,0,6,4,24050.583333333332,23362.708333333332,25639.041666666664,-1,-0.60315155763168
2016-04-25,26139.375,0,0,4,22737.333333333332,26561.958333333332,25578.672619047615,-1,-0.5954076796541363
2016-05-15,23152.458333333332,0,6,5,23957.708333333332,22873.875,25771.333333333336,-1,-0.5949933657871248
2016-05-22,23595.416666666668,0,6,5,23928.916666666668,23152.458333333332,25694.27380952381,-1,-0.5984202010475564
2016-08-12,45724.708333333336,0,4,8,45225.458333333336,35492.5,39722.732142857145,-1,-0.599961103594424
2016-08-13,45185.833333333336,0,5,8,45724.708333333336,37284.0,40851.56547619048,-1,-0.6235683162016978
2016-08-14,44427.333333333336,0,6,8,45185.833333333336,34696.0,42241.755952380954,-1,-0.6277740150030194
2016-08-15,43938.875,0,0,8,44427.333333333336,36256.041666666664,43339.30357142857,-1,-0.6203668320387337
2016-08-16,43918.458333333336,0,1,8,43938.875,36814.666666666664,44354.130952380954,-1,-0.5998776191291967
2016-08-17,43134.958333333336,0,2,8,43918.458333333336,42058.25,44507.946428571435,-1,-0.6015044198779438
2016-08-18,40495.833333333336,0,3,8,43134.958333333336,45225.458333333336,43832.28571428572,-1,-0.6078904820206772
2016-08-19,40132.458333333336,0,4,8,40495.833333333336,45724.708333333336,43033.392857142855,-1,-0.5936579959295765
2016-08-20,37409.458333333336,0,5,8,40132.458333333336,45185.833333333336,41922.482142857145,-1,-0.5957850982408878
2016-08-21,35991.333333333336,0,6,8,37409.458333333336,44427.333333333336,40717.33928571428,-1,-0.6008693240247319
2016-10-16,23876.583333333332,0,6,10,24227.416666666668,23919.0,25818.85119047619,-1,-0.5969622115607084
2018-01-05,44197.791666666664,0,4,1,41065.0,39392.458333333336,40624.1369047619,-1,-0.6067816182981821
2018-01-06,43565.75,0,5,1,44197.791666666664,37419.041666666664,41502.2380952381,-1,-0.6420832568311599
2018-01-07,42159.708333333336,0,6,1,43565.75,39016.0,41951.33928571428,-1,-0.6553110598619136
2018-01-08,40300.666666666664,0,0,1,42159.708333333336,40191.041666666664,41967.0,-1,-0.6153446432989205
2018-01-09,35337.375,0,1,1,40300.666666666664,41627.333333333336,41068.43452380953,-1,-0.5957178936019947
2018-04-29,23541.916666666668,0,6,4,23777.708333333332,23878.875,25559.97023809524,-1,-0.6049475406065444
2018-07-03,45258.041666666664,0,1,7,45218.125,31780.416666666668,39510.642857142855,-1,-0.611428530977214
