Datetime,predicted_mean
2017-03-30,32316.607209290934
2017-03-31,32390.133162388684
2017-04-01,30245.322519196998
2017-04-02,28895.249439719813
2017-04-03,31742.181633094962
2017-04-04,31746.15081857055
2017-04-05,31831.34281647802
2017-04-06,32316.60719214082
2017-04-07,32390.133148276225
2017-04-08,30245.322507584166
2017-04-09,28895.249430163865
2017-04-10,31742.18162523158
2017-04-11,31746.150812099946
2017-04-12,31831.3428111535
2017-04-13,32316.607187759386
2017-04-14,32390.13314467084
2017-04-15,30245.322504617372
2017-04-16,28895.249427722556
2017-04-17,31742.181623222677
2017-04-18,31746.150810446867
2017-04-19,31831.342809793216
2017-04-20,32316.607186640038
2017-04-21,32390.13314374975
2017-04-22,30245.32250385943
2017-04-23,28895.24942709886
2017-04-24,31742.181622709453
2017-04-25,31746.150810024545
2017-04-26,31831.342809445698
2017-04-27,32316.60718635407
2017-04-28,32390.133143514435
2017-04-29,30245.322503665793
2017-04-30,28895.24942693952
2017-05-01,31742.181622578337
2017-05-02,31746.150809916653
2017-05-03,31831.342809356916
2017-05-04,32316.607186281013
2017-05-05,32390.133143454317
2017-05-06,30245.322503616324
2017-05-07,28895.249426898816
2017-05-08,31742.18162254484
2017-05-09,31746.150809889088
2017-05-10,31831.342809334234
2017-05-11,32316.60718626235
2017-05-12,32390.133143438958
2017-05-13,30245.322503603686
2017-05-14,28895.249426888415
2017-05-15,31742.18162253628
2017-05-16,31746.150809882045
2017-05-17,31831.34280932844
2017-05-18,32316.60718625758
2017-05-19,32390.133143435032
2017-05-20,30245.322503600455
2017-05-21,28895.24942688576
2017-05-22,31742.181622534095
2017-05-23,31746.150809880244
2017-05-24,31831.342809326958
2017-05-25,32316.607186256362
2017-05-26,32390.133143434028
2017-05-27,30245.32250359963
2017-05-28,28895.24942688508
2017-05-29,31742.181622533535
2017-05-30,31746.150809879786
2017-05-31,31831.34280932658
2017-06-01,32316.60718625605
2017-06-02,32390.133143433774
2017-06-03,30245.32250359942
2017-06-04,28895.249426884904
2017-06-05,31742.181622533393
2017-06-06,31746.15080987967
2017-06-07,31831.34280932648
2017-06-08,32316.60718625597
2017-06-09,32390.133143433708
2017-06-10,30245.322503599364
2017-06-11,28895.24942688486
2017-06-12,31742.181622533357
2017-06-13,31746.15080987964
2017-06-14,31831.342809326456
2017-06-15,32316.607186255947
2017-06-16,32390.13314343369
2017-06-17,30245.32250359935
2017-06-18,28895.24942688485
2017-06-19,31742.181622533346
2017-06-20,31746.150809879633
2017-06-21,31831.34280932645
2017-06-22,32316.607186255944
2017-06-23,32390.133143433686
2017-06-24,30245.322503599346
2017-06-25,28895.249426884846
2017-06-26,31742.181622533342
2017-06-27,31746.15080987963
2017-06-28,31831.34280932645
2017-06-29,32316.607186255944
2017-06-30,32390.133143433686
2017-07-01,30245.322503599346
2017-07-02,28895.249426884846
2017-07-03,31742.181622533342
2017-07-04,31746.15080987963
2017-07-05,31831.34280932645
2017-07-06,32316.607186255944
2017-07-07,32390.133143433686
2017-07-08,30245.322503599346
2017-07-09,28895.249426884846
2017-07-10,31742.181622533342
2017-07-11,31746.15080987963
2017-07-12,31831.34280932645
2017-07-13,32316.607186255944
2017-07-14,32390.133143433686
2017-07-15,30245.322503599346
2017-07-16,28895.249426884846
2017-07-17,31742.181622533342
2017-07-18,31746.15080987963
2017-07-19,31831.34280932645
2017-07-20,32316.607186255944
2017-07-21,32390.133143433686
2017-07-22,30245.322503599346
2017-07-23,28895.249426884846
2017-07-24,31742.181622533342
2017-07-25,31746.15080987963
2017-07-26,31831.34280932645
2017-07-27,32316.607186255944
2017-07-28,32390.133143433686
2017-07-29,30245.322503599346
2017-07-30,28895.249426884846
2017-07-31,31742.181622533342
2017-08-01,31746.15080987963
2017-08-02,31831.34280932645
2017-08-03,32316.607186255944
2017-08-04,32390.133143433686
2017-08-05,30245.322503599346
2017-08-06,28895.249426884846
2017-08-07,31742.181622533342
2017-08-08,31746.15080987963
2017-08-09,31831.34280932645
2017-08-10,32316.607186255944
2017-08-11,32390.133143433686
2017-08-12,30245.322503599346
2017-08-13,28895.249426884846
2017-08-14,31742.181622533342
2017-08-15,31746.15080987963
2017-08-16,31831.34280932645
2017-08-17,32316.607186255944
2017-08-18,32390.133143433686
2017-08-19,30245.322503599346
2017-08-20,28895.249426884846
2017-08-21,31742.181622533342
2017-08-22,31746.15080987963
2017-08-23,31831.34280932645
2017-08-24,32316.607186255944
2017-08-25,32390.133143433686
2017-08-26,30245.322503599346
